APERTURE       FILTER       X Ref pix   Y Ref Pix
IR               NA           562.0       562.0 
IR-FIX           NA           512.0       512.0 
IR             G141           497.0       562.0 
IR             G102           497.0       562.0 
G102-REF         NA           497.0       562.0 
G141-REF         NA           497.0       562.0 
IRSUB64          NA           522.0       522.0 
IRSUB128         NA           522.0       522.0 
IRSUB256         NA           522.0       522.0 
IRSUB512         NA           522.0       522.0 
IRSUB64-FIX      NA           512.0       512.0 
IRSUB128-FIX     NA           512.0       512.0 
IRSUB256-FIX     NA           512.0       512.0 
IRSUB512-FIX     NA           512.0       512.0 
IR-UVIS-CENTER   NA           498.4       487.9 
IR-UVIS          NA           490.9       580.8 
IR-UVIS-FIX      NA           490.9       580.8 
GRISM1024      G102           497.0       562.0
GRISM1024      G141           497.0       562.0 
GRISM1024        NA           497.0       562.0 
GRISM512       G102           505.0       532.0 
GRISM512       G141           505.0       532.0 
GRISM512         NA           505.0       532.0 
GRISM256       G102           410.0       532.0
GRISM256       G141           410.0       532.0
GRISM256         NA           410.0       532.0 
GRISM128       G102           376.0       522.0 
GRISM128       G141           410.0       522.0 
GRISM128         NA           496.0       502.0 
GRISM64        G102           376.0       522.0 
GRISM64        G141           410.0       522.0 
GRISM64          NA           496.0       502.0 
