#Wave (Angstrom) 	Star flux (electron/second)		Planet day flux (electron/second)	Planet night flux (electron/second)
  30500.0000    2336.3961       6.1145       0.4446
  31500.0000    2526.0974       7.2178       0.4216
  32500.0000    2795.0837       8.8168       0.5182
  33500.0000    3695.7066      12.3561       0.7339
  34500.0000    4558.4928      16.1871       1.0500
  35500.0000    7675.9279      29.1841       2.0560
  36500.0000   12568.5543      50.3437       4.1207
  37500.0000   16253.8169      68.2505       6.6590
  38500.0000   16872.3091      73.9288       8.0910
  39500.0000   16899.3819      75.6312       9.1227
  40500.0000   14956.9468      66.8650       9.2085
  41500.0000   11381.9223      49.9471       7.4941
  42500.0000    8440.7721      36.3023       5.4104
  43500.0000    6991.8164      29.6382       4.6820
  44500.0000    6122.9878      25.7416       4.4928
  45500.0000    6641.5668      28.3226       5.0951
  46500.0000    8329.9687      36.3911       6.7863
  47500.0000   10260.7302      45.4876       8.6024
  48500.0000   14096.2968      63.7869      12.5006
  49500.0000   17828.1962      81.2853      16.2933
  50500.0000   22015.8335     100.7984      20.5162
  51500.0000   26619.7825     123.7452      25.4937
  52500.0000   30552.2978     144.3746      29.5933
  53500.0000   32479.4440     154.9937      32.0925
  54500.0000   33902.8918     161.1551      33.3809
  55500.0000   34503.5500     166.0537      34.4184
  56500.0000   34018.5285     165.7456      34.8816
  57500.0000   33634.0415     167.4679      35.6035
  58500.0000   33093.9496     164.9259      34.9318
  59500.0000   32629.6223     167.1351      36.3311
  60500.0000   31827.0109     167.4436      36.4789
  61500.0000   30810.9228     164.9142      36.2358
  62500.0000   29877.8727     164.4738      36.7188
  63500.0000   29312.2878     162.5897      36.7907
  64500.0000   28765.3608     153.9598      34.2784
  65500.0000   27646.3834     144.7483      34.2221
  66500.0000   25986.1106     134.5839      33.2513
  67500.0000   24433.6167     128.9111      32.1385
  68500.0000   23126.4792     122.7302      30.8715
  69500.0000   21919.3483     118.8501      29.8845
  70500.0000   20995.8828     114.4105      28.3881
  71500.0000   20333.8414     112.2911      27.3396
  72500.0000   19701.6328     109.4051      26.0917
  73500.0000   19151.7762     107.4319      25.5323
  74500.0000   18620.2624     105.0767      25.2667
  75500.0000   18124.0392     103.4015      25.7542
  76500.0000   17667.2539     100.9093      25.3637
  77500.0000   17204.4072      99.7455      24.1019
  78500.0000   16742.0586      95.9121      24.2898
  79500.0000   16281.5044      94.0773      24.4887
  80500.0000   15808.4644      92.5984      24.4746
  81500.0000   15325.8809      90.3417      24.2100
  82500.0000   14870.2665      88.1763      23.8336
  83500.0000   14462.6379      85.4946      23.6137
  84500.0000   14067.4438      85.2557      23.8375
  85500.0000   13645.5585      83.5258      23.9902
  86500.0000   13196.7801      82.3476      23.6183
  87500.0000   12760.4439      78.8446      23.6612
  88500.0000   12327.9035      77.6061      23.6724
  89500.0000   11919.4174      75.4265      23.7384
  90500.0000   11505.7171      73.2095      23.3225
  91500.0000   11097.6489      72.0903      23.5776
  92500.0000   10716.0377      68.5275      23.3363
  93500.0000   10314.0098      67.8481      23.1537
  94500.0000    9926.0414      64.7216      22.3919
  95500.0000    9565.0679      63.6563      22.2241
  96500.0000    9225.8718      61.8616      21.8443
  97500.0000    8891.7258      60.1927      21.5767
  98500.0000    8537.4276      57.5605      20.3837
  99500.0000    8194.6333      55.7753      20.1679
 100500.0000    7904.8603      53.9882      19.7170
 101500.0000    7722.7585      53.4602      19.6393
 102500.0000    7540.1104      51.6687      19.2028
 103500.0000    7324.9555      50.6789      18.1109
 104500.0000    7106.7361      48.8833      17.6054
 105500.0000    6765.6149      46.7315      17.3792
 106500.0000    6304.6597      44.1077      16.4160
 107500.0000    5862.9458      40.6460      15.2287
 108500.0000    5499.1912      38.4606      14.3547
 109500.0000    5152.9768      35.4270      13.3904
 110500.0000    4853.1599      33.4316      12.7103
 111500.0000    4598.6963      31.7817      12.4165
 112500.0000    4355.4036      30.2466      11.8065
 113500.0000    4158.5994      28.9986      11.3774
 114500.0000    3971.8922      27.7270      10.9961
 115500.0000    3775.9398      26.4604      10.5084
 116500.0000    3571.0688      25.0097       9.8706
 117500.0000    3369.4133      23.1630       9.0955
 118500.0000    3170.1024      22.0551       8.8637
 119500.0000    2974.0351      20.6967       8.3199
 120500.0000    2772.9935      19.4713       7.8675
 121500.0000    2567.2154      17.9915       7.3786
 122500.0000    2363.0534      16.4753       6.7058
 123500.0000    2149.8422      15.0749       6.1108
 124500.0000    1938.6072      13.4366       5.4814
 125500.0000    1751.3482      12.2042       4.9362
 126500.0000    1587.4729      11.1232       4.6006
 127500.0000    1431.1549       9.9902       4.1109
 128500.0000    1303.5683       9.0963       3.7971
 129500.0000    1182.7829       8.3002       3.4798
 130500.0000    1064.6541       7.5792       3.1263
 131500.0000     949.1762       6.7177       2.7841
 132500.0000     839.6321       5.8513       2.4233
 133500.0000     753.1023       5.3501       2.2473
 134500.0000     671.8585       4.7245       1.9270
 135500.0000     597.7972       4.2392       1.7728
 136500.0000     530.7369       3.7339       1.5718
 137500.0000     466.8285       3.2832       1.3896
 138500.0000     414.1109       2.9209       1.2241
 139500.0000     364.2203       2.5855       1.0984
