# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: depth, datatype: float32}
# schema: astropy-2.0
wavelength depth
4.0 1.0
4.1010103 1.0
4.20202 1.0
4.3030305 1.0
4.4040403 1.0
4.5050507 1.0
4.6060605 1.0
4.707071 1.0
4.8080807 1.0
4.909091 1.0
5.010101 1.0
5.111111 1.0
5.212121 1.0
5.3131313 1.0
5.414141 1.0
5.5151515 1.0
5.616162 1.0
5.7171717 1.0
5.818182 1.0
5.919192 1.0
6.020202 1.0
6.121212 1.0
6.2222223 1.0
6.323232 1.0
6.4242425 1.0
6.5252523 1.0
6.6262627 1.0
6.7272725 1.0
6.828283 1.0
6.929293 1.0
7.030303 1.0
7.1313133 1.02
7.232323 1.04
7.3333335 1.06
7.4343433 1.08
7.5353537 1.1
7.6363635 1.08
7.737374 1.06
7.8383837 1.04
7.939394 1.02
8.040404 1.0
8.141414 1.0
8.242424 1.0
8.343434 1.0
8.444445 1.0
8.545455 1.0
8.646464 1.0
8.747475 1.0
8.848485 1.0
8.949495 1.0
9.050505 1.0
9.151515 1.0
9.252525 1.0
9.353536 1.0
9.454545 1.0
9.555555 1.0
9.656566 1.0
9.757576 1.0
9.858586 1.0
9.959596 1.0
10.060606 1.0
10.161616 0.98
10.262627 0.96
10.363636 0.94
10.464646 0.92
10.565657 0.9
10.666667 0.92
10.767676 0.94
10.868687 0.96
10.969697 0.98
11.070707 1.0
11.171718 1.0
11.272727 1.0
11.373737 1.0
11.474748 1.0
11.575758 1.0
11.676767 1.0
11.777778 1.0
11.878788 1.0
11.979798 1.0
12.080808 1.0
12.181818 1.0
12.282828 1.0
12.383839 1.0
12.484848 1.0
12.585858 1.0
12.686869 1.0
12.787879 1.0
12.888889 1.0
12.989899 1.0
13.090909 1.0
13.191919 1.0
13.29293 1.0
13.393939 1.0
13.494949 1.0
13.59596 1.0
13.69697 1.0
13.797979 1.0
13.89899 1.0
14.0 1.0
# DATE = 2020-05-13 08:37:49.167039
