planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
HD189733b;11740.04; transit;2453955.526;9.00E-06;2.2185752;8.00E-08;55510.10424;0.225;2.53E-05;701
HD189733b;11740.03; transit;2453955.526;9.00E-06;2.2185752;8.00E-08;55443.52962;0.225;2.42E-05;671
HAT-P-12b;12181.11; transit;2454419.196;9.00E-05;3.2130589;3.00E-07;55710.17279;12.795;3.75E-05;402
TrES-2b;12181.03; transit;2453957.635;3.80E-04;2.47063;1.00E-05;55478.87938;12.795;2.49E-03;616
WASP-18b;12181.13; transit;2458375.17;2.60E-05;0.9414526;1.60E-06;55737.76511;2.778;-4.76E-03;-2801
WASP-17b;12181.16; partial transit;2454592.802;5.00E-05;3.7354845;1.90E-06;55750.0487;12.795;1.58E-04;310
XO-1b;12181.21; transit;2453887.748;2.50E-04;3.94150685;2.02E-06;55834.1618;50.382;2.53E-04;494
TrES-4b;12181.06; transit;2454230.906;3.00E-04;3.55392771;4.70E-07;55523.81315;12.795;4.81E-05;364
HAT-P-13b;12181.01; transit;2455176.539;2.70E-04;2.9162383;2.20E-06;55447.0957;7.677;7.01E-05;93
HAT-P-7b;12181.17; partial transit;2454731.68;2.30E-04;2.2047304;2.40E-06;55760.56923;5.971;5.08E-04;467
HAT-P-7b;12181.02; partial eclipse;2454731.68;2.30E-04;2.2047304;2.40E-06;55468.43527;7.677;3.64E-04;334
HAT-P-7b;12181.09; partial eclipse;2454731.68;2.30E-04;2.2047304;2.40E-06;55536.7951;7.677;3.98E-04;365
HAT-P-7b;12181.15; eclipse;2454731.68;2.30E-04;2.2047304;2.40E-06;55746.26229;5.971;5.01E-04;460
WASP-4b;12181.07; transit;2454697.798;4.80E-05;1.33823187;2.50E-07;55525.50055;36.02;1.16E-04;619
WASP-19b;12181.14; transit;2455168.968;9.00E-05;0.78884;3.00E-07;55743.38058;21.657;2.77E-04;729
TrES-3b;12181.1; eclipse;2454538.581;2.10E-04;1.30618608;3.80E-07;55622.8542;36.02;2.42E-04;830
CoRoT-1b;12181.23; transit;2454138.328;6.00E-05;1.5089682;5.00E-07;55949.90716;100.652;3.98E-04;1201
WASP-19b;12181.12; eclipse;2455168.968;9.00E-05;0.78884;3.00E-07;55721.6916;21.657;2.67E-04;701
CoRoT-1b;12181.22; eclipse;2454138.328;6.00E-05;1.5089682;5.00E-07;55943.12114;100.652;3.96E-04;1196
CoRoT-1b;12181.24; eclipse;2454138.328;6.00E-05;1.5089682;5.00E-07;55953.69691;100.652;3.99E-04;1203
CoRoT-1b;12181.25; eclipse;2454138.328;6.00E-05;1.5089682;5.00E-07;55962.74636;100.652;4.01E-04;1209
CoRoT-2b;12181.19; eclipse;2455628.448;1.40E-04;1.74299673;3.10E-07;55820.40075;21.657;1.96E-05;110
CoRoT-2b;12181.05; eclipse;2455628.448;1.40E-04;1.74299673;3.10E-07;55487.46701;21.657;-1.43E-05;-81
CoRoT-2b;12181.2; partial eclipse;2455628.448;1.40E-04;1.74299673;3.10E-07;55827.39284;21.657;2.04E-05;114
